Match Number,Date & Time,Venue,Team 1,Team 1 Score,Team 2,Team 2 Score,winner,winning_margin
74,"JUN, TUE 3 , 7:30 pm IST","Narendra Modi Stadium,",Royal Challengers Bengaluru,190/9,Punjab Kings,184/7,ROYAL CHALLENGERS BENGALURU,6 RUNS
73,"JUN, SUN 1 , 7:30 pm IST","Narendra Modi Stadium,",Punjab Kings,207/5,Mumbai Indians,203/6,PUNJAB KINGS,5 WICKETS
72,"MAY, FRI 30 , 7:30 pm IST","New PCA Stadium,",Gujarat Titans,208/6,Mumbai Indians,228/5,MUMBAI INDIANS,20 RUNS
71,"MAY, THU 29 , 7:30 pm IST","New PCA Stadium,",Punjab Kings,101,Royal Challengers Bengaluru,106/2,ROYAL CHALLENGERS BENGALURU,8 WICKETS
70,"MAY, TUE 27 , 7:30 pm IST","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Lucknow Super Giants,227/3,Royal Challengers Bengaluru,230/4,ROYAL CHALLENGERS BENGALURU,6 WICKETS
69,"MAY, MON 26 , 7:30 pm IST","Sawai Mansingh Stadium,",Punjab Kings,187/3,Mumbai Indians,184/7,PUNJAB KINGS,7 WICKETS
68,"MAY, SUN 25 , 7:30 pm IST","Arun Jaitley Stadium,",Sunrisers Hyderabad,278/3,Kolkata Knight Riders,168,SUNRISERS HYDERABAD,110 RUNS
67,"MAY, SUN 25 , 3:30 pm IST","Narendra Modi Stadium,",Gujarat Titans,147,Chennai Super Kings,230/5,CHENNAI SUPER KINGS,83 RUNS
66,"MAY, SAT 24 , 7:30 pm IST","Sawai Mansingh Stadium,",Punjab Kings,206/8,Delhi Capitals,208/4,DELHI CAPITALS,6 WICKETS
65,"MAY, FRI 23 , 7:30 pm IST","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Royal Challengers Bengaluru,189,Sunrisers Hyderabad,231/6,SUNRISERS HYDERABAD,42 RUNS
64,"MAY, THU 22 , 7:30 pm IST","Narendra Modi Stadium,",Gujarat Titans,202/9,Lucknow Super Giants,235/2,LUCKNOW SUPER GIANTS,33 RUNS
63,"MAY, WED 21 , 7:30 pm IST","Wankhede Stadium,",Mumbai Indians,180/5,Delhi Capitals,121,MUMBAI INDIANS,59 RUNS
62,"MAY, TUE 20 , 7:30 pm IST","Arun Jaitley Stadium,",Chennai Super Kings,187/8,Rajasthan Royals,188/4,RAJASTHAN ROYALS,6 WICKETS
61,"MAY, MON 19 , 7:30 pm IST","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Lucknow Super Giants,205/7,Sunrisers Hyderabad,206/4,SUNRISERS HYDERABAD,6 WICKETS
60,"MAY, SUN 18 , 7:30 pm IST","Arun Jaitley Stadium,",Delhi Capitals,199/3,Gujarat Titans,205/0,GUJARAT TITANS,10 WICKETS
59,"MAY, SUN 18 , 3:30 pm IST","Sawai Mansingh Stadium,",Rajasthan Royals,209/7,Punjab Kings,219/5,PUNJAB KINGS,10 RUNS
58,"MAY, SAT 17 , 7:30 pm IST","M Chinnaswamy Stadium,",Royal Challengers Bengaluru,N/A,Kolkata Knight Riders,N/A,N/A,MATCH ABANDONED
57,"MAY, WED 7 , 7:30 pm IST","Eden Gardens,",Kolkata Knight Riders,179/6,Chennai Super Kings,183/8,CHENNAI SUPER KINGS,2 WICKETS
56,"MAY, TUE 6 , 7:30 pm IST","Wankhede Stadium,",Mumbai Indians,155/8,Gujarat Titans,147/7,GUJARAT TITANS,3 WICKETS
55,"MAY, MON 5 , 7:30 pm IST","Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,133/7,Delhi Capitals,N/A,GUJARAT TITANS,3 WICKETS
54,"MAY, SUN 4 , 7:30 pm IST","Himachal Pradesh Cricket Association Stadium,",Punjab Kings,236/5,Lucknow Super Giants,199/7,PUNJAB KINGS,37 RUNS
53,"MAY, SUN 4 , 3:30 pm IST","Eden Gardens,",Kolkata Knight Riders,206/4,Rajasthan Royals,205/8,KOLKATA KNIGHT RIDERS,1 RUN
52,"MAY, SAT 3 , 7:30 pm IST","M Chinnaswamy Stadium,",Royal Challengers Bengaluru,213/5,Chennai Super Kings,211/5,ROYAL CHALLENGERS BENGALURU,2 RUNS
51,"MAY, FRI 2 , 7:30 pm IST","Narendra Modi Stadium,",Gujarat Titans,224/6,Sunrisers Hyderabad,186/6,GUJARAT TITANS,38 RUNS
50,"MAY, THU 1 , 7:30 pm IST","Sawai Mansingh Stadium,",Rajasthan Royals,117,Mumbai Indians,217/2,MUMBAI INDIANS,100 RUNS
49,"APR, WED 30 , 7:30 pm IST","MA Chidambaram Stadium,",Chennai Super Kings,190,Punjab Kings,194/6,PUNJAB KINGS,4 WICKETS
48,"APR, TUE 29 , 7:30 pm IST","Arun Jaitley Stadium,",Delhi Capitals,190/9,Kolkata Knight Riders,204/9,KOLKATA KNIGHT RIDERS,14 RUNS
47,"APR, MON 28 , 7:30 pm IST","Sawai Mansingh Stadium,",Rajasthan Royals,212/2,Gujarat Titans,209/4,RAJASTHAN ROYALS,8 WICKETS
46,"APR, SUN 27 , 7:30 pm IST","Arun Jaitley Stadium,",Delhi Capitals,162/8,Royal Challengers Bengaluru,165/4,ROYAL CHALLENGERS BENGALURU,6 WICKETS
45,"APR, SUN 27 , 3:30 pm IST","Wankhede Stadium,",Mumbai Indians,215/7,Lucknow Super Giants,161,MUMBAI INDIANS,54 RUNS
44,"APR, SAT 26 , 7:30 pm IST","Eden Gardens,",Kolkata Knight Riders,7/0,Punjab Kings,201/4,MUMBAI INDIANS,54 RUNS
43,"APR, FRI 25 , 7:30 pm IST","MA Chidambaram Stadium,",Chennai Super Kings,154,Sunrisers Hyderabad,155/5,SUNRISERS HYDERABAD,5 WICKETS
42,"APR, THU 24 , 7:30 pm IST","M Chinnaswamy Stadium,",Royal Challengers Bengaluru,205/5,Rajasthan Royals,194/9,ROYAL CHALLENGERS BENGALURU,11 RUNS
41,"APR, WED 23 , 7:30 pm IST","Rajiv Gandhi International Stadium,",Sunrisers Hyderabad,143/8,Mumbai Indians,146/3,MUMBAI INDIANS,7 WICKETS
40,"APR, TUE 22 , 7:30 pm IST","Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,",Lucknow Super Giants,159/6,Delhi Capitals,161/2,DELHI CAPITALS,8 WICKETS
39,"APR, MON 21 , 7:30 pm IST","Eden Gardens,",Kolkata Knight Riders,159/8,Gujarat Titans,198/3,GUJARAT TITANS,39 RUNS
